,data,execution_time,rms,bad50,bad200,bad100,bad300,bad20,bad2.0,bad1.0,bad0.5
0,curule1,0.7609069347381592,3814.5773657781147,0.5869275655864198,0.08939621913580247,0.150874324845679,0.08939621913580247,0.6603457754629629,0.7391999421296296,0.7479094328703704,0.754239486882716
1,skates2,0.7182707786560059,2845.9068290839045,0.37134934413580245,0.20346788194444446,0.26668354552469137,0.20346788194444446,0.6103983410493827,0.7077830825617284,0.7211699459876543,0.7298389274691358
2,skiboots3,0.7334024906158447,9243.46074339876,0.5715933641975308,0.08285638503086419,0.3669748263888889,0.08285638503086419,0.6345095486111111,0.7029152199074075,0.7091237461419753,0.7123249421296296
3,ladder2,0.6453654766082764,1435.4791946264436,0.19328221450617283,0.06196566358024691,0.06196566358024691,0.06196566358024691,0.6561771797839506,0.7305198688271605,0.743314525462963,0.7509456983024692
4,skiboots2,0.6718654632568359,27321.16017897614,0.7335821759259259,0.40640769675925925,0.6991922260802469,0.1363695987654321,0.7527218364197531,0.7871653163580247,0.7931539351851852,0.7966984953703704
5,artroom2,0.7148067951202393,4989.6088283910985,0.5637943672839506,0.03140673225308642,0.20271170910493827,0.03140673225308642,0.6514612268518518,0.7203669945987654,0.7281505594135802,0.7328187692901235
6,skiboots1,0.7036254405975342,6380.382668737998,0.5826832561728396,0.13162181712962964,0.3224946952160494,0.13162181712962964,0.6705521797839507,0.7128443287037037,0.7162003279320988,0.7186024305555555
7,skates1,0.6197412014007568,41194.33635853955,0.8451089891975309,0.5508371913580247,0.7953472222222222,0.3653342013888889,0.8763252314814814,0.9118677662037037,0.9154812885802469,0.9176142939814815
8,chess2,0.7246651649475098,14724.373808693645,0.6915133101851851,0.17608555169753087,0.48986352237654324,0.08785686728395062,0.7182388117283951,0.7405902777777778,0.7435325038580247,0.7455820794753086
9,bandsaw1,0.6917510032653809,2426.451599870107,0.5219883294753086,0.0344237075617284,0.0344237075617284,0.0344237075617284,0.5395577739197531,0.7274927662037037,0.7455121527777778,0.7609543788580246
10,ladder1,0.6643447875976562,1311.1279140200133,0.153110050154321,0.052738233024691356,0.052738233024691356,0.052738233024691356,0.6437736304012346,0.7345288387345679,0.7470674189814814,0.7533781828703704
11,pendulum1,0.6646411418914795,4408.282720776566,0.4655275848765432,0.0657007137345679,0.16797694830246915,0.0657007137345679,0.6614920910493827,0.7158709490740741,0.7199807098765432,0.724994212962963
12,chess1,0.6892080307006836,15811.101566817902,0.7135074266975309,0.25037326388888886,0.5675516010802469,0.14760030864197532,0.7505714699074074,0.7898133680555556,0.7944917052469136,0.7967539544753086
13,pendulum2,0.6684460639953613,4372.364406230362,0.5568668016975309,0.03866271219135802,0.12372154706790124,0.03866271219135802,0.8095650077160493,0.8589327739197531,0.8631679205246914,0.870574363425926
14,artroom1,1.0542147159576416,3870.339044209569,0.5645143711419753,0.07283998842592593,0.13351466049382715,0.07283998842592593,0.6359013310185185,0.7067148919753087,0.7191285686728395,0.7281534529320988
15,bandsaw2,0.6962587833404541,17852.758338414762,0.7524599729938272,0.059148823302469136,0.7502025462962963,0.033154417438271605,0.7630854552469136,0.9171754436728395,0.9191936728395061,0.9204581404320987
16,traproom2,0.7433474063873291,2894.068396098491,0.2947169174382716,0.09292004243827161,0.1365581597222222,0.09292004243827161,0.5791377314814815,0.6713932291666667,0.6903776041666667,0.709551986882716
17,chess3,0.7316107749938965,6961.750787058073,0.5942418981481481,0.11469859182098766,0.3540702160493827,0.11469859182098766,0.6484288194444444,0.7415311535493827,0.746923225308642,0.7499006558641975
18,octogons2,0.7376775741577148,1149.3747383580808,0.08685715663580247,0.05357783564814815,0.05357783564814815,0.05357783564814815,0.6456659915123457,0.7382036072530864,0.7544931520061728,0.7635522762345679
19,octogons1,0.6805844306945801,1338.0593744672592,0.09167582947530864,0.07970871913580246,0.07970871913580246,0.07970871913580246,0.720639949845679,0.769654224537037,0.7768889853395061,0.7826441936728395
20,traproom1,0.735903263092041,2833.717770028491,0.40585069444444444,0.18014081790123457,0.19357253086419754,0.18014081790123457,0.6241372492283951,0.6916931905864198,0.7136742862654321,0.7371643518518518
21,curule2,0.6737959384918213,5866.387342759069,0.590014949845679,0.0919849537037037,0.2808130787037037,0.0919849537037037,0.6839081790123457,0.7587109375,0.7645635609567901,0.7681872106481481
22,curule3,0.7154581546783447,2177.5536881822673,0.3936834490740741,0.06614872685185186,0.08624180169753086,0.06614872685185186,0.590919174382716,0.6833656442901235,0.6914998070987655,0.6968648726851852
23,podium1,0.7328546047210693,15940.953111116778,0.8731163194444445,0.23543643904320988,0.3604600694444444,0.11639612268518519,0.875426311728395,0.8785083912037037,0.8795018325617284,0.8803515625
